Title,Genre,Premiere,Runtime,IMDB Score,Language
One-Way to Tomorrow,Romance,6/19/2020,90,5.6,Turkish
Lost Bullet,Thriller,6/19/2020,92,6.2,French
Feel the Beat,Family/Comedy-drama,6/19/2020,107,6.3,English
Disclosure: Trans Lives on Screen,Documentary,6/19/2020,107,8.2,English
Nobody Knows I'm Here,Drama,6/24/2020,91,6.5,Spanish
Bulbbul,Horror,6/24/2020,94,6.6,Hindi
Athlete A,Documentary,6/24/2020,104,7.6,English
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,6/26/2020,123,6.5,English
Under the Riccione Sun,Romantic teenage drama,7/1/2020,101,5.4,Italian
Desperados,Romantic comedy,7/3/2020,106,5.2,English
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,7/8/2020,96,7.3,Spanish/English
The Old Guard,Superhero/Action,7/10/2020,124,6.7,English
The Claudia Kishi Club,Documentary,7/10/2020,17,6.9,English
We Are One,Documentary,7/14/2020,86,4.6,French
The Players,Comedy,7/15/2020,88,4.6,Italian
Fatal Affair,Thriller,7/16/2020,89,4.5,English
Father Soldier Son,Documentary,7/17/2020,100,7.3,English
The Larva Island Movie,Animation,7/23/2020,90,5.1,English
The Kissing Booth 2,Romantic comedy,7/24/2020,131,5.8,English
Offering to the Storm,Thriller,7/24/2020,139,6.2,Spanish
The Speed Cubers,Documentary,7/29/2020,40,7.4,English
Seriously Single,Comedy,7/31/2020,107,4.5,English
Raat Akeli Hai,Thriller,7/31/2020,149,7.3,Hindi
Anelka: Misunderstood,Documentary,8/5/2020,94,6.4,French
Work It,Dance comedy,8/7/2020,93,6.1,English
Freaks: You're One of Us,Supernatural drama,9/2/2020,92,5.4,German
"Love, Guaranteed",Romantic comedy,9/3/2020,91,5.6,English
I'm Thinking of Ending Things,Psychological thriller,9/4/2020,134,6.6,English
My Octopus Teacher,Documentary,9/7/2020,85,8.1,English
The Social Dilemma,Documentary,9/9/2020,94,7.6,English
All Because of You,Action comedy,10/1/2020,101,4.2,Malay
The Binding,Drama,10/2/2020,93,4.7,Italian
Òlòt?ré,Crime drama,10/2/2020,106,5.5,English
Vampires vs. the Bronx,Horror comedy,10/2/2020,86,5.6,English
You've Got This,Romantic comedy,10/2/2020,111,5.8,Spanish
Serious Men,Drama,10/2/2020,114,6.8,Hindi
Dick Johnson Is Dead,Documentary,10/2/2020,90,7.5,English
David Attenborough: A Life on Our Planet,Documentary,10/4/2020,83,9,English
Hubie Halloween,Comedy,10/7/2020,103,5.2,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,10/8/2020,100,6.9,French
Ginny Weds Sunny,Romantic comedy,10/9/2020,125,5.7,Hindi
The 40-Year-Old Version,Comedy,10/9/2020,124,7.2,English
Octonauts & the Great Barrier Reef,Animation,10/13/2020,47,7.3,English
Blackpink: Light Up the Sky,Documentary,10/14/2020,79,7.5,Korean
The Three Deaths of Marisela Escobedo,Documentary,10/14/2020,109,8.2,Spanish
Love Like the Falling Rain,Drama,10/15/2020,86,5,Indonesian
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,10/15/2020,98,5.4,English
Rooting for Roona,Documentary,10/15/2020,41,7.1,Bengali
The Trial of the Chicago 7,Drama,10/16/2020,130,7.8,English
Rebecca,Romantic thriller,10/21/2020,123,6,English
Cadaver,Horror,10/22/2020,86,5.1,Norwegian
Over the Moon,Animation/Musical/Adventure,10/23/2020,95,6.4,English
Sarah Cooper: Everything's Fine,Variety show,10/27/2020,49,5.6,English
Guillermo Vilas: Settling the Score,Documentary,10/27/2020,94,7.1,Spanish
Nobody Sleeps in the Woods Tonight,Horror,10/28/2020,103,4.8,Polish
Holidate,Romantic comedy/Holiday,10/28/2020,104,6.1,English
Secrets of the Saqqara Tomb,Documentary,10/28/2020,114,7.3,English/Arabic
Kaali Khuhi,Mystery,10/30/2020,90,3.4,Hindi
The Day of the Lord,Drama,10/30/2020,93,4.9,Spanish
Rogue City,Crime drama,10/30/2020,116,6.1,French
His House,Thriller,10/30/2020,93,6.5,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,11/3/2020,14,7,English
Operation Christmas Drop,Romantic comedy,11/5/2020,96,5.8,English
Citation,Drama,11/6/2020,151,6.2,English
Angela's Christmas Wish,Animation,12/1/2020,47,7.1,English
Just Another Christmas,Comedy,12/3/2020,101,6.7,Portuguese
Leyla Everlasting,Comedy,12/4/2020,112,3.7,Turkish
Christmas Crossfire,Thriller,12/4/2020,106,4.8,German
Mank,Biopic,12/4/2020,132,6.9,English
The Claus Family,Fantasy,12/7/2020,96,5.8,Dutch
Emicida: AmarElo - It's All For Yesterday,Documentary,12/8/2020,89,8.6,Portuguese
Rose Island,Comedy,12/9/2020,117,7,Italian
What Happened to Mr. Cha?,Comedy,1/1/2021,102,4.3,Korean
The Minimalists: Less Is Now,Documentary,1/1/2021,53,5.9,English
Tony Parker: The Final Shot,Documentary,1/6/2021,98,6.8,French
Pieces of a Woman,Drama,1/7/2021,126,7.1,English
Stuck Apart,Drama,1/8/2021,96,6.1,Turkish
